Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,65.0859665621,14.1692617854,15.4010117801,0.0,4.12243109448,15.9888894789,65.2623045681,62.2705741502,2.97173041782,0.02
 01/02  02:00:00,81.7297504321,21.7019657791,23.1294435369,0.00891617682719,4.12243109448,15.9888894789,96.1079185491,93.1161881313,2.97173041782,0.02
 01/02  03:00:00,57.4459950054,11.0889874842,11.455676021,0.0,4.12243109448,15.9888894789,52.5621810173,49.5704505995,2.97173041782,0.02
 01/02  04:00:00,79.2548699413,21.55494913,22.5418572638,0.0733069520196,4.12243109448,15.9888894789,92.7264880258,89.734757608,2.97173041782,0.02
 01/02  05:00:00,111.794351267,29.6500203317,29.9654126631,0.135054674204,12.3672932834,24.9413748627,113.504914543,108.532030513,4.9528840297,0.02
 01/02  06:00:00,127.492821915,29.7831377002,32.6293300793,13.0364905739,12.3672932834,24.9413748627,180.261804033,175.288920003,4.9528840297,0.02
 01/02  07:00:00,183.706394554,30.8925485516,31.1400162345,11.266083499,24.7345865669,70.7195625826,146.578349749,136.65258169,9.90576805939,0.02
 01/02  08:00:00,210.764092857,31.1450517778,29.6179743664,7.76062379812,37.1018798503,92.3937384068,127.423261144,117.497493084,9.90576805939,0.02
 01/02  09:00:00,221.048307938,31.2220648849,31.2446424858,6.74193025238,37.1018798503,104.434947198,121.379877273,111.454109214,9.90576805939,0.02
 01/02  10:00:00,241.395152137,31.2854323615,34.0739252475,5.52415781285,37.1018798503,116.476155989,125.600284665,107.337009648,9.90576805939,8.35750695749
 01/02  11:00:00,247.897199393,31.392292472,37.2193080847,3.70333959439,37.1018798503,116.476155989,112.656382316,102.46463738,9.90576805939,0.285976876093
 01/02  12:00:00,251.449620051,31.8708465659,43.1676379701,2.04413855068,37.1018798503,116.476155989,105.004683892,95.0789158325,9.90576805939,0.02
 01/02  13:00:00,248.587160815,32.4311158332,55.177959513,1.47339841276,37.1018798503,104.434947198,108.254121726,89.7231277058,9.90576805939,8.62522596074
 01/02  14:00:00,265.945493215,32.9620853967,62.6605976916,1.03176615795,37.1018798503,116.476155989,95.5985982734,85.672830214,9.90576805939,0.02
 01/02  15:00:00,266.847540755,33.2969542014,67.4849915193,0.662185774665,37.1018798503,116.476155989,93.3046979959,83.3789299365,9.90576805939,0.02
 01/02  16:00:00,263.539973186,33.3311146016,68.3640420988,0.400495906367,37.1018798503,116.476155989,101.667579019,83.1355898473,9.90576805939,8.62622111224
 01/02  17:00:00,259.726409092,33.2271094211,66.034798533,0.314455869137,37.1018798503,116.476155989,93.6382731595,83.7125051001,9.90576805939,0.02
 01/02  18:00:00,263.376726839,32.6609906748,61.5070284727,0.427527250614,37.1018798503,116.476155989,97.5495351405,87.6237670811,9.90576805939,0.02
 01/02  19:00:00,167.758847191,29.7807017976,45.9379782409,0.0,24.7345865669,47.5788473902,83.0739426689,69.5135654864,4.9528840297,8.60749315283
 01/02  20:00:00,159.051517622,29.5601768239,40.9173055121,0.0,24.7345865669,47.5788473902,81.7831263236,76.8102422939,4.9528840297,0.02
 01/02  21:00:00,128.935149627,29.1926352012,33.9499955681,0.0,12.3672932834,38.6892022431,96.3497476019,93.3580171841,2.97173041782,0.02
 01/02  22:00:00,89.9562991623,16.0104553879,19.7552005968,0.0,12.3672932834,27.0668015668,61.4968470024,58.5051165846,2.97173041782,0.02
 01/02  23:00:00,78.5163528695,20.3298103877,23.3300096089,0.0,4.12243109448,15.9888894789,87.0506355673,84.0589051495,2.97173041782,0.02
 01/02  24:00:00,64.158286549,13.319884433,16.2252999876,0.0,4.12243109448,15.9888894789,55.4902469335,52.4985165157,2.97173041782,0.02
 01/03  01:00:00,75.6143628567,19.4057280973,21.3271701802,0.0,4.12243109448,15.9888894789,84.6274563534,81.6357259356,2.97173041782,0.02
 01/03  02:00:00,60.4635373861,12.3141262265,13.5331324619,0.0,4.12243109448,15.9888894789,49.6730896809,46.6813592631,2.97173041782,0.02
 01/03  03:00:00,75.0722818298,19.4057280973,20.6390677673,0.0,4.12243109448,15.9888894789,86.7476967338,83.755966316,2.97173041782,0.02
 01/03  04:00:00,60.1547853196,12.2651206768,13.1425931117,0.0566673466107,4.12243109448,15.9888894789,51.4199520378,48.42822162,2.97173041782,0.02
 01/03  05:00:00,113.324179874,29.7235286562,31.2458819035,0.12936700498,12.3672932834,24.9413748627,117.209735385,112.236851356,4.9528840297,0.02
 01/03  06:00:00,127.347518563,29.7862720631,32.7729044512,12.7444786285,12.3672932834,24.9413748627,179.529435023,174.556550993,4.9528840297,0.02
 01/03  07:00:00,185.49062154,30.90154617,33.5681462456,10.8315846635,24.7345865669,70.7195625826,146.031121553,136.105353494,9.90576805939,0.02
 01/03  08:00:00,210.039348778,31.1608694841,34.4526444333,7.24173168245,37.1018798503,92.3937384068,127.26167822,117.33591016,9.90576805939,0.02
 01/03  09:00:00,214.813494752,31.241247082,35.4591983025,5.93318036788,37.1018798503,104.434947198,130.14048677,111.613803813,9.90576805939,8.62091489775
 01/03  10:00:00,229.531859867,31.3156995888,39.7309272064,4.2638311755,37.1018798503,116.476155989,117.391397392,107.465629332,9.90576805939,0.02
 01/03  11:00:00,232.105788409,31.4411732059,43.7734686715,2.66910976082,37.1018798503,116.476155989,112.755827029,102.830058969,9.90576805939,0.02
 01/03  12:00:00,233.103869237,31.5463139353,45.3182533439,2.01705691667,37.1018798503,116.476155989,118.602686495,100.06798887,9.90576805939,8.62892956606
 01/03  13:00:00,223.219044068,31.5823107917,47.6247707629,1.83151273143,37.1018798503,104.434947198,109.215153924,99.2893858641,9.90576805939,0.02
 01/03  14:00:00,236.768065874,31.8290806302,49.4023177106,1.31439584653,37.1018798503,116.476155989,114.097737517,95.563052404,9.90576805939,8.628917054
 01/03  15:00:00,234.121195143,31.7086742586,46.8279526612,1.36257142508,37.1018798503,116.476155989,105.992916292,96.0671482321,9.90576805939,0.02
 01/03  16:00:00,230.986301711,31.6844188565,42.8468740951,1.39389744858,37.1018798503,116.476155989,106.114065683,96.1882976239,9.90576805939,0.02
 01/03  17:00:00,243.079186169,31.8717400099,40.5249542776,1.18101006099,37.1018798503,116.476155989,110.451061469,91.9227548797,9.90576805939,8.62253852995
 01/03  18:00:00,262.68836336,31.7269378619,38.9216637976,1.36298193136,37.1018798503,116.476155989,101.725723531,91.7999554712,9.90576805939,0.02
 01/03  19:00:00,184.590080891,29.1926352012,30.4610181515,0.0,24.7345865669,47.5788473902,76.8632218771,71.8903378474,4.9528840297,0.02
 01/03  20:00:00,187.287738619,29.9277184466,28.9924925648,0.0,24.7345865669,47.5788473902,82.8904289331,77.9175449034,4.9528840297,0.02
 01/03  21:00:00,162.280407714,28.2125242074,26.4937544732,0.0,12.3672932834,38.6892022431,96.4005864586,93.4088560408,2.97173041782,0.02
 01/03  22:00:00,106.159477345,15.7654276394,15.7751623834,0.0,12.3672932834,27.0668015668,57.6009426209,54.609212203,2.97173041782,0.02
 01/03  23:00:00,102.805338311,20.3298103877,20.4629167037,0.0,4.12243109448,15.9888894789,86.2582215829,83.266491165,2.97173041782,0.02
 01/03  24:00:00,73.7054828133,13.4832362653,12.6567616657,0.0177087382234,4.12243109448,15.9888894789,54.4155045572,51.4237741394,2.97173041782,0.02
 01/04  01:00:00,102.438634031,22.9130582138,20.9516187158,0.0313635384855,4.12243109448,15.9888894789,96.3622081322,93.3704777144,2.97173041782,0.02
 01/04  02:00:00,89.4847287885,18.9717013039,16.6528309903,0.064181121703,4.12243109448,15.9888894789,79.9259951647,76.9342647468,2.97173041782,0.02
 01/04  03:00:00,104.92398144,24.327196001,19.9758142665,0.309505783982,4.12243109448,15.9888894789,100.238852283,97.2471218657,2.97173041782,0.02
 01/04  04:00:00,94.4071839637,19.7067845493,15.908789388,0.632594474514,4.12243109448,15.9888894789,81.4079191902,78.4161887723,2.97173041782,0.02
 01/04  05:00:00,139.69707082,29.1926352012,22.8669601884,0.500467971386,12.3672932834,24.9413748627,122.216228216,108.661571405,4.9528840297,8.60177278109
 01/04  06:00:00,168.664602956,30.265887392,25.6563889836,21.2901809917,12.3672932834,24.9413748627,179.300250132,174.327366103,4.9528840297,0.02
 01/04  07:00:00,216.760678912,30.8151601272,25.6799133061,16.111044619,24.7345865669,70.7195625826,146.051228432,136.125460373,9.90576805939,0.02
 01/04  08:00:00,229.804048021,31.0323455442,24.9916941718,11.2695079883,37.1018798503,92.3937384068,127.751440751,117.825672692,9.90576805939,0.02
 01/04  09:00:00,229.972285063,31.1466711127,25.8998330827,7.1818262954,37.1018798503,104.434947198,119.768345703,109.842577643,9.90576805939,0.02
 01/04  10:00:00,247.013514841,31.3018335075,29.9668813665,4.42338826803,37.1018798503,116.476155989,112.480359607,102.554591548,9.90576805939,0.02
 01/04  11:00:00,253.284250461,31.5390411117,36.0644516078,2.9413836156,37.1018798503,116.476155989,115.580595141,97.0471324454,9.90576805939,8.62769463666
 01/04  12:00:00,258.925575428,31.5802281147,40.6945185048,2.4266170377,37.1018798503,116.476155989,105.752170854,95.8264027948,9.90576805939,0.02
 01/04  13:00:00,250.630469279,31.8803485871,42.513503406,1.74996927373,37.1018798503,104.434947198,110.820675459,92.2898651393,9.90576805939,8.62504225988
 01/04  14:00:00,260.988742261,31.786932969,42.5914174321,1.614830062,37.1018798503,116.476155989,102.531501299,92.6057332398,9.90576805939,0.02
 01/04  15:00:00,261.128723622,31.85606971,42.6368191255,1.32997365346,37.1018798503,116.476155989,101.644055285,91.7182872255,9.90576805939,0.02
 01/04  16:00:00,261.335835155,32.0815778976,42.7861994525,1.07296834842,37.1018798503,116.476155989,107.380420917,88.8483661589,9.90576805939,8.62628669897
 01/04  17:00:00,262.576792061,32.1745588198,42.9010350795,1.05865301084,37.1018798503,116.476155989,96.8671529668,86.9413849074,9.90576805939,0.02
 01/04  18:00:00,272.046175335,31.8975000623,41.931270489,1.17987843545,37.1018798503,116.476155989,99.2961871346,89.3704190752,9.90576805939,0.02
 01/04  19:00:00,183.151320475,29.1926352012,32.4106177638,0.0,24.7345865669,47.5788473902,75.9867315027,71.013847473,4.9528840297,0.02
 01/04  20:00:00,180.470345028,29.9277184466,31.1465322168,0.0,24.7345865669,47.5788473902,82.5834726071,77.6105885774,4.9528840297,0.02
 01/04  21:00:00,152.556988647,28.2125242074,26.9641660124,0.0,12.3672932834,38.6892022431,105.090193965,93.5125951465,2.97173041782,8.60586840099
 01/04  22:00:00,102.988328912,15.7654276394,15.784635397,0.0,12.3672932834,27.0668015668,57.63731461,54.6455841922,2.97173041782,0.02
 01/04  23:00:00,100.962939639,20.49316222,20.5338451358,0.0,4.12243109448,15.9888894789,86.1458567159,83.1541262981,2.97173041782,0.02
 01/04  24:00:00,69.2981670697,12.069098478,11.2938901349,0.0,4.12243109448,15.9888894789,48.3828184781,45.3910880603,2.97173041782,0.02
 01/05  01:00:00,95.6432234134,20.4838501906,18.6239077419,0.0329097485218,4.12243109448,15.9888894789,83.0374170288,80.045686611,2.97173041782,0.02
 01/05  02:00:00,90.8115605585,18.8736902045,16.5922430926,0.0264763073219,4.12243109448,15.9888894789,79.4085403268,76.416809909,2.97173041782,0.02
 01/05  03:00:00,104.653222741,24.0821682526,20.0503751457,0.169774028618,4.12243109448,15.9888894789,100.276462265,97.2847318475,2.97173041782,0.02
 01/05  04:00:00,91.4273630509,19.9518122978,15.8500972034,0.535870858307,4.12243109448,15.9888894789,80.8507933835,77.8590629656,2.97173041782,0.02
 01/05  05:00:00,133.805386739,29.5520092323,22.8598096875,0.4227320642,12.3672932834,24.9413748627,113.536688888,108.563804858,4.9528840297,0.02
 01/05  06:00:00,154.908158718,29.7631080827,25.6946532013,17.1570306888,12.3672932834,24.9413748627,179.998267334,175.025383304,4.9528840297,0.02
 01/05  07:00:00,211.961135435,30.8530359876,25.6823976395,15.5996272491,24.7345865669,70.7195625826,146.134389202,136.208621143,9.90576805939,0.02
 01/05  08:00:00,229.314162893,31.0492528218,24.9898834292,10.7770912784,37.1018798503,92.3937384068,127.33184414,117.406076081,9.90576805939,0.02
 01/05  09:00:00,228.056903351,31.1500237253,25.1916800931,7.00312950237,37.1018798503,104.434947198,119.774923443,109.849155384,9.90576805939,0.02
 01/05  10:00:00,238.660239026,31.2981203454,26.4083264647,4.56270609773,37.1018798503,116.476155989,121.783374883,103.253876468,9.90576805939,8.62373035477
 01/05  11:00:00,242.749317791,31.6111735736,27.8821874843,3.20027101178,37.1018798503,116.476155989,107.169934835,97.2441667752,9.90576805939,0.02
 01/05  12:00:00,248.306966653,31.9818984694,29.3161596065,2.73561932419,37.1018798503,116.476155989,111.264316781,92.7295574015,9.90576805939,8.62899132015
 01/05  13:00:00,238.606727859,32.3407869463,29.7854476907,2.32011798342,37.1018798503,104.434947198,99.585745979,89.6599779196,9.90576805939,0.02
 01/05  14:00:00,251.397042665,32.6192832607,31.9076455949,1.70207565224,37.1018798503,116.476155989,97.2975630308,87.3717949714,9.90576805939,0.02
 01/05  15:00:00,254.976854311,32.7579804833,35.1956266179,1.42538180846,37.1018798503,116.476155989,104.143032558,85.6095892808,9.90576805939,8.62767521807
 01/05  16:00:00,256.891526333,32.8000809527,36.48712685,1.28773131318,37.1018798503,116.476155989,94.2795613875,84.3537933282,9.90576805939,0.02
