"PVWatts: Hourly PV Performance Data"
"Requested Location:","28155 christopher lane"
"Location:","SPOKANE, WA"
"Lat (deg N):","47.63"
"Long (deg W):","117.53"
"Elev (m):","721"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","47.5"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","14.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-5","6.7","0","-5","0","0"
"1","1","1","0","0","-6.1","5.7","0","-6.1","0","0"
"1","1","2","0","0","-6.7","5.7","0","-6.7","0","0"
"1","1","3","0","0","-6.7","3.1","0","-6.7","0","0"
"1","1","4","0","0","-6.1","2.1","0","-6.1","0","0"
"1","1","5","0","0","-6.1","4.1","0","-6.1","0","0"
"1","1","6","0","0","-6.1","3.6","0","-6.1","0","0"
"1","1","7","1","6","-6.1","5.7","5.486","-7.382","21.616","0"
"1","1","8","2","55","-5.6","3.6","74.664","-5.662","293.712","265.8"
"1","1","9","8","124","-6.1","3.6","157.552","-4.003","615.656","580.706"
"1","1","10","4","154","-5.6","2.1","175.108","-2.264","679.531","643.079"
"1","1","11","4","182","-5.6","3.6","207.48","-2.056","804.479","764.99"
"1","1","12","4","195","-5","2.6","230.411","-0.286","886.796","845.234"
"1","1","13","2","202","-4.4","2.1","266.13","1.761","1015.461","970.542"
"1","1","14","1","133","-4.4","3.6","183.513","-1.195","708.974","671.819"
"1","1","15","1","44","-4.4","2.1","62.769","-4.173","245.446","218.513"
"1","1","16","0","3","-4.4","1.5","2.513","-6.593","9.93","0"
"1","1","17","0","0","-5.6","1.5","0","-5.6","0","0"
"1","1","18","0","0","-5.6","2.6","0","-5.6","0","0"
"1","1","19","0","0","-6.1","3.1","0","-6.1","0","0"
"1","1","20","0","0","-7.2","3.6","0","-7.2","0","0"
"1","1","21","0","0","-8.3","3.1","0","-8.3","0","0"
"1","1","22","0","0","-9.4","2.6","0","-9.4","0","0"
"1","1","23","0","0","-8.9","3.6","0","-8.9","0","0"
"1","2","0","0","0","-8.3","3.1","0","-8.3","0","0"
"1","2","1","0","0","-8.9","3.1","0","-8.9","0","0"
"1","2","2","0","0","-7.8","3.6","0","-7.8","0","0"
"1","2","3","0","0","-8.3","2.6","0","-8.3","0","0"
"1","2","4","0","0","-7.2","3.6","0","-7.2","0","0"
"1","2","5","0","0","-6.7","4.1","0","-6.7","0","0"
"1","2","6","0","0","-6.7","2.6","0","-6.7","0","0"
"1","2","7","0","9","-6.7","2.6","7.54","-8.623","30.037","7.23"
"1","2","8","2","55","-6.1","2.1","74.374","-6.229","293.255","265.352"
"1","2","9","0","131","-5.6","2.6","164.462","-3.065","640.375","604.849"
"1","2","10","9","219","-5.6","7.7","296.506","-2.1","1149.823","1101.249"
"1","2","11","7","170","-5.6","7.2","190.974","-3.466","744.823","706.801"
"1","2","12","3","191","-5.6","5.2","221.997","-2.479","862.291","821.352"
"1","2","13","1","173","-5.6","8.2","208.926","-3.463","814.843","775.097"
"1","2","14","3","133","-6.1","5.2","183.055","-3.702","714.563","677.273"
"1","2","15","1","55","-5.6","4.1","92.647","-4.857","363.341","333.981"
"1","2","16","0","4","-6.1","4.1","3.351","-7.54","13.291","0"
"1","2","17","0","0","-5","5.7","0","-5","0","0"
"1","2","18","0","0","-5","5.7","0","-5","0","0"
"1","2","19","0","0","-5.6","2.6","0","-5.6","0","0"
"1","2","20","0","0","-7.2","2.6","0","-7.2","0","0"
"1","2","21","0","0","-5.6","4.6","0","-5.6","0","0"
"1","2","22","0","0","-4.4","6.2","0","-4.4","0","0"
"1","2","23","0","0","-3.9","5.7","0","-3.9","0","0"
"1","3","0","0","0","-4.4","4.1","0","-4.4","0","0"
