Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  02:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  03:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102926809,0,1.102926809,
 01/01  04:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  05:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  06:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.103028165,0,1.103028165,
 01/01  07:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  08:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.102922901,0,1.102922901,
 01/01  09:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  10:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  11:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.102931555,0,1.102931555,
 01/01  12:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  13:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.103000196,0,1.103000196,
 01/01  14:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  15:00:00,18.77135218,0,0,0,2.680416012,16.08249607,1.103002573,0,1.103002573,
 01/01  16:00:00,18.77135218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  17:00:00,21.23868551,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  18:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102930819,0,1.102930819,
 01/01  19:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  20:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102929151,0,1.102929151,
 01/01  21:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  22:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/01  23:00:00,33.57535218,0,0,0,2.680416012,16.08249607,1.102981632,0,1.102981632,
 01/01  24:00:00,33.57535218,0,0,0,2.680416012,16.08249607,0.02,0,0.02,
 01/02  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965512,0,1.102965512,
 01/02  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/02  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/02  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102964836,0,1.102964836,
 01/02  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/02  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.103080095,0,1.103080095,
 01/02  07:00:00,108.7034586,2.902461137,0,64.18439723,5.360832023,21.44332809,0.02,0,0.02,
 01/02  08:00:00,101.1956062,2.902461137,0,49.52041922,16.08249607,32.68178963,1.103466449,0,1.103466449,
 01/02  09:00:00,141.3427259,2.902461137,0,19.78102404,48.24748821,70.40331239,2.188239259,0,2.188239259,
 01/02  10:00:00,127.0793599,2.902461137,0,13.86622951,48.24748821,62.05474096,1.104114155,0,1.104114155,
 01/02  11:00:00,121.7833179,2.902461137,0.620929311,9.875851576,48.24748821,60.12814755,2.18834364,0,2.18834364,
 01/02  12:00:00,122.7055816,2.902461137,1.504553166,7.987898012,48.24748821,62.05474096,2.189115334,0,2.189115334,
 01/02  13:00:00,123.7213144,2.902461137,1.571583789,9.48094874,48.24748821,61.51039245,2.189800811,0,2.189800811,
 01/02  14:00:00,123.3249915,2.903537511,1.572202803,6.93308746,48.24748821,63.66023546,3.274370355,0,3.274370355,
 01/02  15:00:00,118.7759873,2.902461137,1.571607559,5.917842773,48.24748821,60.12814755,1.104134688,0,1.104134688,
 01/02  16:00:00,119.595937,2.902461137,1.573269878,6.736130151,48.24748821,60.12814755,2.188178182,0,2.188178182,
 01/02  17:00:00,125.6068176,2.91779347,1.58522503,7.362499766,48.24748821,63.01803766,2.188725461,0,2.188725461,
 01/02  18:00:00,130.0980325,2.997119344,1.633195011,10.33466584,37.52582416,62.79478806,1.103771483,0,1.103771483,
 01/02  19:00:00,98.20077139,2.902461137,1.577370241,16.08616085,26.80416012,36.01817895,1.103528803,0,1.103528803,
 01/02  20:00:00,97.27263934,2.902461137,1.577370149,17.72682009,26.80416012,33.44938775,1.103334284,0,1.103334284,
 01/02  21:00:00,87.18899808,2.902461137,1.579074393,23.72397066,16.08249607,28.08855572,1.103402155,0,1.103402155,
 01/02  22:00:00,88.78335943,2.902461137,1.580286785,26.60151522,16.08249607,26.80416012,0.02,0,0.02,
 01/02  23:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.102964369,0,1.102964369,
 01/02  24:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/03  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/03  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102966325,0,1.102966325,
 01/03  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/03  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965576,0,1.102965576,
 01/03  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/03  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,1.103082908,0,1.103082908,
 01/03  07:00:00,88.98806151,2.902461137,0,44.46900016,5.360832023,21.44332809,0.02,0,0.02,
 01/03  08:00:00,82.25635608,2.902461137,0,30.58116915,16.08249607,32.68178963,1.103435613,0,1.103435613,
 01/03  09:00:00,128.6637659,2.951535375,0.226314193,6.826675596,48.24748821,70.40331239,1.104150674,0,1.104150674,
 01/03  10:00:00,120.2672734,2.916626714,2.540026792,4.499950645,48.24748821,62.05474096,2.188364833,0,2.188364833,
 01/03  11:00:00,118.7025787,3.143853051,4.105749978,3.068899835,48.24748821,60.12814755,2.188414423,0,2.188414423,
 01/03  12:00:00,121.0993835,3.390312086,5.137893268,2.260508871,48.24748821,62.05474096,2.189285004,0,2.189285004,
 01/03  13:00:00,121.8141883,3.446737052,5.918983554,2.682146977,48.24748821,61.51039245,2.189712946,0,2.189712946,
 01/03  14:00:00,121.8455179,3.427137491,6.272734427,0.229482169,48.24748821,63.66023546,2.189497644,0,2.189497644,
 01/03  15:00:00,118.0264422,3.289896073,6.352470276,0,48.24748821,60.12814755,2.188277379,0,2.188277379,
 01/03  16:00:00,119.2170839,3.144753035,7.688255014,0,48.24748821,60.12814755,1.104031176,0,1.104031176,
 01/03  17:00:00,124.8793624,3.059419649,8.052941678,0.02570176,48.24748821,63.01803766,2.188765317,0,2.188765317,
 01/03  18:00:00,127.0984223,3.105543779,7.665794902,1.194031283,37.52582416,62.79478806,2.187771725,0,2.187771725,
 01/03  19:00:00,92.31017209,2.902461137,6.753428071,5.019503721,26.80416012,36.01817895,1.103593799,0,1.103593799,
 01/03  20:00:00,89.31507912,2.902461137,4.212206744,7.134423284,26.80416012,33.44938775,0.02,0,0.02,
 01/03  21:00:00,75.9644689,2.902461137,2.239983092,11.83853279,16.08249607,28.08855572,1.103388626,0,1.103388626,
 01/03  22:00:00,76.77669472,2.902461137,1.237646513,14.93749079,16.08249607,26.80416012,1.103097617,0,1.103097617,
 01/03  23:00:00,41.61660021,0,0,0,5.360832023,21.44332809,0.02,0,0.02,
 01/03  24:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102966344,0,1.102966344,
 01/04  01:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/04  02:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965155,0,1.102965155,
 01/04  03:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/04  04:00:00,38.9361842,0,0,0,2.680416012,21.44332809,0.02,0,0.02,
 01/04  05:00:00,38.9361842,0,0,0,2.680416012,21.44332809,1.102965679,0,1.102965679,
 01/04  06:00:00,41.61660021,0,0,0,5.360832023,21.44332809,0.02,0,0.02,
