Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.1511948375,5.33741638332,1.2377086274,0.0100694168759,12.925468867,10.100111941,27.6571029348,27.6371029348,0.0,0.02
 01/01  02:00:00,37.0402759507,5.31660819918,1.07121757744,0.0875469632329,12.925468867,10.100111941,32.8800585137,27.124294223,0.0,5.75576429072
 01/01  03:00:00,32.3152832022,5.28829322176,0.767722530928,0.313408137945,8.34152022915,10.0650221343,27.1323087462,27.1123087462,0.0,0.02
 01/01  04:00:00,32.3985710637,5.28023606521,0.562081351307,0.610386116186,8.34152022915,10.0650221343,35.1280081164,29.3722937091,0.0,5.75571440734
 01/01  05:00:00,34.146416576,5.27893270321,0.388525362914,0.926493842305,8.34152022915,11.6705166398,32.326438711,32.306438711,0.0,0.02
 01/01  06:00:00,38.4500283499,5.28364239478,0.280385518424,1.17523980221,8.80141237637,15.3678112995,37.7645730144,31.9985576502,0.0,5.7660153642
 01/01  07:00:00,58.7176649549,5.32451219116,0.647325274213,1.05848793597,18.5082010057,25.6353820695,37.9354652129,32.1594138729,0.0,5.77605133995
 01/01  08:00:00,68.5511386235,5.46310521525,1.8749863214,0.606991551976,19.4926561212,41.1001056674,42.0763272168,30.4934900975,0.0,11.5828371192
 01/01  09:00:00,94.1582320781,5.714519842,3.91909536876,0.161227723617,26.3286599382,57.9988325916,50.9953461164,19.9104278482,0.0,31.0849182682
 01/01  10:00:00,78.0275814702,5.5959711323,3.22228393271,0.119290524786,26.2443270014,42.8153538416,60.6843577643,14.9808287377,18.025,27.6785290266
 01/01  11:00:00,52.7890834514,5.42649916647,1.99577910918,0.151344693591,21.7447113004,23.4437158914,54.0812743609,12.6622928954,18.025,23.3939814655
 01/01  12:00:00,50.844552089,5.49844614205,2.48232596223,0.0503323385392,19.3449162599,23.4437158914,43.6465388137,8.10251913546,18.025,17.5190196783
 01/01  13:00:00,51.5884632918,5.5596821302,3.07208983044,0.00105162047033,19.190480192,23.7425572507,40.581744029,5.073809252,18.025,17.482934777
 01/01  14:00:00,52.025914163,5.61476237402,3.42939375699,0.0,19.260583323,23.698576057,42.36789331,1.03664014772,18.025,23.3062531623
 01/01  15:00:00,51.9836998887,5.61136780491,3.39057234583,0.0,19.260583323,23.698576057,36.4453228341,0.93370791216,18.025,17.486614922
 01/01  16:00:00,51.3852521494,5.57561440017,3.1178259858,0.0,19.260583323,23.4086260847,38.1807479279,2.67361710996,18.025,17.4821308179
 01/01  17:00:00,57.0694030686,5.49295276822,2.54932815095,0.0,19.260583323,27.8781056672,28.5683471186,4.78254409048,18.025,5.76080302812
 01/01  18:00:00,71.5814681351,5.53320720678,2.74667538295,0.0,18.1807569449,37.5792895564,14.8754438365,9.10951446159,0.0,5.76592937492
 01/01  19:00:00,86.3967817214,5.65767930206,3.54394982651,0.0,32.6059821062,37.0465235296,21.6921151836,15.9215154358,0.0,5.77059974775
 01/01  20:00:00,87.2548543216,5.7456722584,4.08296375652,0.0,36.8143715336,33.066984531,24.5024854587,18.7213843457,0.0,5.78110111293
 01/01  21:00:00,93.5056350218,5.87426437475,4.84565062742,0.0,36.43363367,38.8072253906,27.5601589193,21.7798939505,0.0,5.78026496885
 01/01  22:00:00,90.9580407972,5.85925636695,4.66976967294,0.0,36.0963922311,36.7877557581,35.3600703298,23.8178244828,0.0,11.542245847
 01/01  23:00:00,67.6106940601,5.58575856086,2.9160858185,0.0,30.9507766546,20.6087787026,35.0208190969,23.4382983544,0.0,11.5825207425
 01/01  24:00:00,43.6963429267,5.39456490329,1.62733047706,0.0,17.4250845679,11.7056064465,30.3524562004,24.5764764683,0.0,5.77597973211
 01/02  01:00:00,35.7614696721,5.32777941728,1.17314526297,0.0138542262704,11.6412384099,10.0650221343,27.6931729831,27.6731729831,0.0,0.02
 01/02  02:00:00,34.0244190802,5.2915670056,0.866161020277,0.180687868899,10.0992000411,10.047477231,34.96197627,29.2060810369,0.0,5.75589523317
 01/02  03:00:00,32.2132223623,5.2822864382,0.666481709073,0.438010060243,8.25718729233,10.0299323277,28.5278004783,28.5078004783,0.0,0.02
 01/02  04:00:00,32.3061262261,5.28367388931,0.579533012953,0.616475153649,8.25718729233,10.0299323277,33.2392772158,27.48333702,0.0,5.75594019583
