Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,42.4426489969,6.42372513842,5.45295363289,0.0,12.925468867,10.100111941,4.5875298311,4.5675298311,0.0,0.02
 01/01  02:00:00,41.2762422537,6.30849665862,4.40286588279,0.0,12.925468867,10.100111941,11.4139310634,5.65823569345,0.0,5.75569536991
 01/01  03:00:00,35.4139158054,6.17461782524,3.29346296322,0.0,8.34152022915,10.0650221343,6.77902040978,6.75902040978,0.0,0.02
 01/01  04:00:00,34.7840660158,6.10168000188,2.73654317241,0.0,8.34152022915,10.0650221343,13.7113454953,7.9557936434,0.0,5.75555185191
 01/01  05:00:00,36.0298080002,6.05758696588,2.41979037518,0.0,8.34152022915,11.6705166398,9.07518829216,9.05518829216,0.0,0.02
 01/01  06:00:00,39.9354471733,6.02667887234,2.19804870502,0.0,8.80141237637,15.3678112995,15.4051534391,9.63960506323,0.0,5.7655483759
 01/01  07:00:00,60.5729413416,6.10678751704,2.77887417488,0.0,18.5082010057,25.6353820695,15.1501086546,9.37470773473,0.0,5.77540091982
 01/01  08:00:00,75.6465855775,6.37382025732,4.89881053229,0.0,19.4926561212,41.1001056674,19.1082119533,7.52765032686,0.0,11.5805616265
 01/01  09:00:00,101.952049753,6.9833709124,10.605423539,0.0,26.3286599382,57.9988325916,30.9907778875,1.55652771551,0.0,29.434250172
 01/01  10:00:00,89.5312279167,7.02531419173,13.4159666857,0.0,26.2443270014,42.8153538416,47.3387502271,0.00935200951822,18.025,29.3043982176
 01/01  11:00:00,66.3857302753,6.9905541455,14.1797842574,0.0,21.7447113004,23.4437158914,35.5710170249,0.0,18.025,17.5460170249
 01/01  12:00:00,65.717148758,7.16191664701,15.7418315353,0.0,19.3449162599,23.4437158914,41.3681066194,0.0,18.025,23.3431066194
