Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.5015599763,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4994787706,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.5006073258,0.0,0.0,0.0,15.863942322,29.242365,6.08829735337,0.0,3.20568,2.88261735337
 01/01  04:00:00,55.4915532425,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6978014657,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6802756484,0.0,0.0,0.0,15.863942322,29.242365,6.0883278725,0.0,3.20568,2.8826478725
 01/01  07:00:00,55.6931810648,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,49.9086283178,0.0,0.0,0.0,15.863942322,29.242365,6.08835859282,0.0,3.20568,2.88267859282
 01/01  09:00:00,47.0679715141,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.1136809166,0.0,0.0,0.0,15.863942322,29.242365,6.08990728668,0.0,3.20568,2.88422728668
 01/01  11:00:00,47.1301000893,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.8163792606,0.0,0.0,0.0,15.863942322,29.242365,6.08980255499,0.0,3.20568,2.88412255499
 01/01  13:00:00,47.1439642349,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,48.48978647,0.626648546469,0.675328179079,0.0,15.863942322,29.242365,6.0899199024,0.0,3.20568,2.8842399024
 01/01  15:00:00,50.0826034981,0.882726550333,1.97454983699,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
